Date,Open,High,Low,Close,Volume,Adj Close
2009-05-01,32.85,38.94,32.06,36.90,80175600,32.97
2009-04-01,25.29,35.21,25.29,33.00,105136100,29.49
2009-03-02,21.70,29.60,14.96,26.58,131375300,23.71
2009-02-02,25.00,27.97,18.75,22.85,96059900,20.38
2009-01-02,31.19,31.64,17.70,25.51,82297100,22.75
2008-12-01,30.67,37.70,24.61,31.53,53642600,27.78
2008-11-03,41.25,42.50,19.69,31.66,76786200,27.90
2008-10-01,46.91,50.63,32.52,41.25,72817900,36.35
2008-09-02,39.56,49.00,34.04,46.70,69218300,40.83
2008-08-01,41.11,42.85,35.00,38.49,36847600,33.66
2008-07-01,33.69,43.00,29.24,40.63,59346500,35.53
2008-06-02,42.63,42.77,33.96,34.31,47138700,29.67
2008-05-01,47.68,49.95,41.90,43.00,27856600,37.18
2008-04-01,45.13,48.64,41.17,47.65,33799000,41.20
2008-03-03,40.55,48.16,36.01,42.95,55286400,36.84
2008-02-01,47.26,48.70,40.38,40.65,33361800,34.87
2008-01-02,43.55,49.29,37.66,47.40,45245600,40.66
2007-12-03,45.90,48.02,42.79,43.65,23962700,37.11
2007-11-01,45.65,46.32,40.15,45.62,32020200,38.79
2007-10-01,45.47,47.88,44.60,47.00,19626500,39.96
2007-09-04,44.40,48.06,43.20,45.82,19096800,38.65
2007-08-01,43.70,48.29,42.16,44.52,29869400,37.55
2007-07-02,48.90,50.48,43.50,44.01,26281200,37.12
2007-06-01,51.92,52.08,48.06,48.45,16432000,40.55
2007-05-01,52.40,53.25,51.26,51.83,11537500,43.38
2007-04-02,48.38,53.06,47.70,52.10,16590300,43.60
2007-03-01,48.98,49.65,45.91,48.38,16669700,40.20
2007-02-01,50.96,51.95,47.60,49.39,12440300,41.04
2007-01-03,48.00,51.16,47.32,50.93,13689100,42.32
2006-12-01,46.50,49.00,45.51,48.30,10729800,39.85
2006-11-01,47.75,48.05,45.78,46.28,9395400,38.19
2006-10-02,46.96,48.57,46.37,47.44,11799500,39.14
2006-09-01,45.85,47.49,44.68,46.96,9614300,38.47
2006-08-01,45.79,46.10,43.50,45.66,8902600,37.41
2006-07-03,42.05,45.71,40.40,45.62,12717000,37.37
2006-06-01,42.75,44.20,39.33,42.00,13089200,34.13
2006-05-01,45.38,46.80,41.59,42.64,12440500,34.65
2006-04-03,41.95,45.90,41.48,45.38,12442700,36.88
2006-03-01,41.16,42.43,40.87,41.64,11517800,33.56
2006-02-01,39.88,41.95,39.05,41.14,10614100,33.16
2006-01-03,39.83,40.87,37.88,39.75,13902700,32.04
2005-12-01,38.52,40.56,38.32,39.69,9972700,31.72
2005-11-01,36.79,39.18,36.58,38.25,11926800,30.57
2005-10-03,34.19,36.80,32.92,36.62,13524600,29.27
2005-09-01,33.75,35.00,33.50,33.93,10565400,26.85
2005-08-01,35.32,35.65,33.31,33.89,8849900,26.82
2005-07-01,35.22,35.95,34.30,35.14,9797700,27.80
2005-06-01,35.56,36.50,35.01,35.32,9461700,27.68
2005-05-02,35.58,36.30,34.11,35.75,9871100,28.02
2005-04-01,34.79,35.88,33.35,35.49,13730000,27.81
2005-03-01,37.00,37.79,34.32,34.60,12732500,26.84
2005-02-01,37.50,38.07,35.90,36.55,11300500,28.36
2005-01-03,39.48,39.69,36.51,37.33,12259700,28.96
2004-12-01,37.80,39.48,37.25,39.01,9770700,30.00
2004-11-01,38.77,39.91,37.06,37.65,11214000,28.96
2004-10-01,39.90,40.45,36.32,38.60,10850700,29.69
2004-09-01,39.52,40.25,38.95,39.73,9257300,30.30
2004-08-02,37.23,39.80,35.90,39.58,8434800,30.19
2004-07-01,38.58,38.64,35.50,37.33,11097500,28.47
2004-06-01,36.84,38.85,36.50,38.77,9124000,29.31
2004-05-03,38.01,38.75,34.62,36.84,10253400,27.85
2004-04-01,41.95,42.57,37.45,37.60,10160600,28.42
2004-03-01,41.23,43.84,40.44,41.95,9625100,31.46
2004-02-02,39.10,41.20,38.61,41.02,9014800,30.76
2004-01-02,36.56,40.53,36.30,38.89,15051100,29.16
