Date,Open,High,Low,Close,Volume,Adj Close
2008-11-03,56.76,57.25,50.20,55.88,27572100,48.15
2008-10-01,59.51,60.30,47.40,55.81,33669200,48.09
2008-09-02,59.90,63.85,57.74,59.89,27956100,51.60
2008-08-01,58.75,61.00,56.81,59.07,19461500,50.90
2008-07-01,56.00,59.56,55.34,58.62,23372300,50.30
2008-06-02,57.41,59.95,55.85,56.20,22170900,48.23
2008-05-01,58.20,59.09,55.05,57.74,19291100,49.55
2008-04-01,53.19,59.04,52.81,57.98,20886300,49.55
2008-03-03,49.43,54.15,48.64,52.68,25488700,45.02
2008-02-01,50.90,51.57,47.84,49.59,24842400,42.18
2008-01-02,47.41,51.30,43.11,50.74,30515500,43.15
2007-12-03,47.71,50.05,46.87,47.53,15835100,40.42
2007-11-01,44.70,48.23,42.50,47.90,21368400,40.56
2007-10-01,43.83,47.70,43.27,45.21,19963000,38.28
2007-09-04,43.51,45.05,42.09,43.65,20484700,36.96
2007-08-01,46.05,48.42,42.92,43.63,25314000,36.94
2007-07-02,48.20,49.26,45.73,45.95,17741300,38.71
2007-06-01,47.90,51.44,47.69,48.11,21795000,40.53
2007-05-01,47.92,48.88,46.32,47.60,14849200,40.10
2007-04-02,47.06,49.95,46.83,47.92,13556600,40.18
2007-03-01,47.78,48.32,45.06,46.95,16479800,39.37
2007-02-01,47.51,50.42,47.44,48.31,15754400,40.32
2007-01-03,47.09,48.78,46.51,47.69,15240700,39.80
2006-12-01,46.00,46.89,44.80,46.18,14442800,38.54
2006-11-01,49.38,49.70,45.97,46.10,18865700,38.33
2006-10-02,48.62,52.15,47.64,49.28,17412500,40.97
2006-09-01,45.00,49.95,44.02,49.32,13889600,41.01
2006-08-01,44.35,45.45,43.48,44.72,10690100,37.18
2006-07-03,47.75,48.05,42.31,44.50,14152600,36.86
2006-06-01,48.25,49.19,46.55,48.17,11675100,39.90
2006-05-01,45.92,50.00,45.54,48.45,14275300,40.13
2006-04-03,47.27,47.31,44.99,45.03,11183300,37.17
2006-03-01,45.36,48.87,44.86,47.24,12090300,38.99
2006-02-01,46.05,47.02,44.52,45.36,13086400,37.30
2006-01-03,46.36,46.95,44.54,46.11,16772200,37.92
2005-12-01,48.59,49.74,46.75,46.80,12807800,38.49
2005-11-01,47.12,50.87,46.61,48.56,13311500,39.81
